label,node_idx,abstract,address,author,booktitle,carriedOutBy,carriesOut,chapter,dealtWithIn,edition,editor,fax,financedBy,finances,hasProject,head,homepage,howpublished,isAbout,isWorkedOnBy,isbn,journal,member,month,name,note,number,pages,phone,photo,projectInfo,publication,publishes,series,title,type,volume,worksAtProject,year,WBS,1999,2000,2000,2002,2002,2002
0,5678,,,16.0,,2.0,,,6.0,,1.0,1,,,10.0,,1.0,,13.0,6.0,,,3.0,,1,,,,1,1.0,1.0,,,,,,,1.0,,,,,,,,
0,5724,,,1.0,,,,,,,,1,,,,,1.0,,,,,,,,1,,,,1,,,1.0,,,,,,,,,1.0,,,,,
0,5699,,,,,,,,,,,1,,,,,1.0,,,,,,,,1,,,,1,,,,,,,,,,,,1.0,,,,,
0,5688,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1.0,,,,,
0,5702,,,1.0,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,1.0,,,,,,,,,1.0,,,,,
0,5714,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1.0,,,,,
0,5708,,,,,,,,,,,1,,,,,1.0,,,,,,,,1,,,,1,,,,,,,,,,,,1.0,,,,,
0,5843,,,5.0,,,,,3.0,,,1,,,2.0,,1.0,,1.0,7.0,,,2.0,,1,,,,1,,,,,,,,,1.0,,,1.0,,,,,
0,5873,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,1.0,,,,,,,,,,,1.0,,,,,
0,5697,,,,,,,,,,,1,,,,,1.0,,,,,,,,1,,,,1,,,,,,,,,,,,1.0,,,,,
0,5783,,,4.0,,,,,,,,1,,,,,,,,3.0,,,,,1,,,,1,1.0,,,,,,,,,,,1.0,,,,,
0,5701,,,,,,,,,,,1,,,,,1.0,,,,,,,,1,,,,1,,,,,,,,,,,,1.0,,,,,
0,5845,,,11.0,,3.0,,,5.0,,,1,,,8.0,,,,8.0,8.0,,,4.0,,1,,,,1,1.0,1.0,,,,,,,,,,,,,,,
0,5778,,,5.0,,,,,,,,1,,,,,1.0,,,,,,1.0,,1,,,,1,1.0,,,,,,,,,,,,,,,,
1,5731,,,11.0,,,,,1.0,,,1,,,1.0,,1.0,,8.0,11.0,,,2.0,,1,,,,1,1.0,1.0,,,,,,,,,,1.0,,,,,
1,5905,,,1.0,,,,,,,,1,,,,,,,,,,,,,1,,,,1,1.0,,1.0,,,,,,,,,1.0,,,,,
1,5808,,,3.0,,1.0,1.0,,1.0,,,1,,,2.0,,1.0,,4.0,1.0,,,2.0,,1,,,,1,1.0,,,,,,,,1.0,,,,,,,,
1,5785,,,7.0,,1.0,1.0,,3.0,,,1,,,3.0,,,,1.0,5.0,,,2.0,,1,,,,1,1.0,,,,,,,,1.0,,,,,,,,
2,5757,,,10.0,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1.0,,,,,
2,5797,,,21.0,,6.0,,,,,,1,,,7.0,,,,13.0,7.0,,,7.0,,1,,,,1,1.0,,,,,,,,,,,,,,,,
2,5900,,,48.0,,,,,1.0,,,1,,,28.0,,1.0,,6.0,9.0,,,3.0,,1,,,,1,1.0,,,,,,,,,,,1.0,,,,,
2,5677,,,38.0,,,,,,,1.0,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1.0,,,,,
2,5791,,,152.0,,14.0,,,1.0,,13.0,1,,,54.0,,1.0,,26.0,15.0,,,15.0,,1,,,,1,1.0,3.0,,,,,,,,,,,,,,,
2,5811,,,10.0,,5.0,,,1.0,,,1,,,8.0,,,,5.0,5.0,,,6.0,,1,,,,1,1.0,2.0,,,,,,,,,,,,,,,
2,5831,,,3.0,,1.0,1.0,,,,,1,,,3.0,,,,1.0,6.0,,,2.0,,1,,,,1,1.0,,,,,,,,1.0,,,,,,,,
2,5839,,,1.0,,1.0,1.0,,,,,1,,,,,,,,,,,2.0,,1,,,,1,1.0,,1.0,1.0,,,,,1.0,,,,,,,,
2,5755,,,22.0,,2.0,,,2.0,,,1,,,6.0,,,,4.0,5.0,,,3.0,,1,,,,1,1.0,,,,,,,,,,,,,,,,
2,5844,,,2.0,,,,,,,,1,,,,,1.0,,,,,,,,1,,,,1,,,,,,,,,,,,1.0,,,,,
2,5861,,,64.0,,,,,1.0,,1.0,1,,,13.0,,1.0,,11.0,5.0,,,2.0,,1,,,,1,1.0,,,,,,,,1.0,,,1.0,,,,,
3,5857,,,6.0,,3.0,,,1.0,,,1,,,2.0,,,,1.0,1.0,,,4.0,,1,,,,1,1.0,,,,,,,,,,,,,,,,
3,5752,,,9.0,,2.0,,,4.0,,,1,,,,,,,5.0,5.0,,,3.0,,1,,,,1,1.0,,,,,,,,,,,,,,,,
3,5795,,,4.0,,1.0,1.0,,2.0,,,1,,,1.0,,,,1.0,2.0,,,2.0,,1,,,,1,1.0,1.0,,,,,,,1.0,,,,,,,,
3,5753,,,,,1.0,1.0,,2.0,,,1,,,,,,,,2.0,,,2.0,,1,,,,1,1.0,,,,,,,,1.0,,,,,,,,
3,5798,,,,,,,,,,,1,,,,,,,,,,,1.0,,1,,,,1,1.0,,,,,,,,,,,,,,,,
3,5854,,,14.0,,,,,,,,1,,,,,,,8.0,11.0,,,1.0,,1,,,,1,1.0,,,,,,,,,,,,,,,,
