label,node_idx,abstract,address,author,booktitle,carriedOutBy,carriesOut,chapter,dealtWithIn,edition,editor,fax,financedBy,finances,hasProject,head,homepage,howpublished,isAbout,isWorkedOnBy,isbn,journal,member,month,name,note,number,pages,phone,photo,projectInfo,publication,publishes,series,title,type,volume,worksAtProject,year,type,type,range,subClassOf,allValuesFrom,inverseOf,onProperty
0,5678,,,6.0,,1.0,1.0,,5.0,,1.0,1.0,,,3.0,,1.0,,5.0,4.0,,,3.0,,,,,,,1.0,3.0,9.0,10.0,,,1.0,,1.0,,1.0,1.0,,,,,
0,5724,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,
0,5699,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
0,5688,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
0,5702,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
0,5714,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
0,5708,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
0,5843,,,4.0,,,,,1.0,,,1.0,,,2.0,,,,6.0,3.0,,,,,1.0,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,
0,5873,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,
0,5697,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
0,5783,,,3.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,
0,5701,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
0,5845,,,5.0,,,2.0,,8.0,,,,,,4.0,,,,5.0,6.0,,,2.0,,,,,,1.0,,3.0,6.0,5.0,,,2.0,,2.0,,2.0,2.0,,,,,
0,5778,,,4.0,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,3.0,1.0,,,1.0,,,,1.0,1.0,,,,,
1,5731,,,5.0,,,,,,,,,,,,,,,10.0,4.0,,,1.0,,,,,,,1.0,1.0,7.0,,,,1.0,,1.0,,1.0,1.0,,,,,
1,5905,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,
1,5808,,,3.0,,,1.0,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,2.0,1.0,,,1.0,,,,1.0,1.0,,,,,
1,5785,,,4.0,,,,,1.0,,,,,,1.0,,,,6.0,3.0,,,1.0,,,,,,,,2.0,3.0,5.0,,,1.0,,1.0,,1.0,1.0,,,,,
2,5757,,,6.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,4.0,,,,1.0,,,,1.0,1.0,,,,,
2,5797,,,8.0,,6.0,2.0,,5.0,,,,,,14.0,,,,30.0,4.0,,,5.0,,1.0,,,,,,14.0,11.0,9.0,,,1.0,,6.0,,1.0,1.0,,,,,
2,5900,,,21.0,,,,,2.0,,,,,,35.0,,1.0,,78.0,7.0,,,1.0,,,,,,,,33.0,25.0,,,,,,,,,,,,,,
2,5677,,,18.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,16.0,,,,1.0,,,,1.0,1.0,,,,,
2,5791,,,80.0,,6.0,8.0,,35.0,,8.0,,,,101.0,,,,297.0,9.0,,,6.0,,1.0,,,,,,97.0,74.0,70.0,,,2.0,,4.0,,2.0,2.0,,,,,
